Timestamp,What type of business/organization do you represent? ,Which social media platforms are most important for your business?  ,How frequently does your business run social media campaigns?  ,How do you currently decide what content to post and when?  ,What is your biggest challenge with social media campaigns?  ,How important is it for your business to anticipate viral opportunities early?  (1 being not important to 5 being very important.),"If a tool could predict which posts are most likely to go viral within the first hour of posting, would this be valuable to your business?  ",Which feature would you find most useful?  ,Would you prefer this as  ,How much would your business be willing to invest monthly in a tool that improves campaign effectiveness and reduces wasted spend?  ,Who in your organization would be the primary user?  ,Would you be open to participating in a pilot program to test such a tool?  ,What features would make this tool indispensable for your marketing efforts?  ,What risks or concerns would you have about using predictive AI in your social media strategy?  
05/07/2025,Marketing,Twitter/X,Daily,No strategy,Difficulty predicting what will resonate,5,Yes,Identifying sentiment and emotional drivers of engagement,A dashboard with reports,$200–$500,Analyst,Yes,Mobile,None
05/07/2025,Other,Twitter/X,Daily,Agency handles it; Intuition/Experience; No strategy,Wasted ad spend,1,Yes,"Visual dashboards, Predict virality",Standalone app,$500+,Marketing Manager,Yes,Integration with scheduling tools,Accuracy of predictions
05/07/2025,Corporate,LinkedIn,Never,No strategy,Low engagement,4,Maybe,"Best posting times, Reputation monitoring, Sentiment/emotional drivers",Standalone app,$50â€“$200,Executive,No,Deeper competitor insights,Accuracy of predictions
05/07/2025,Corporate,Instagram,Daily,Agency handles it; No strategy,Low engagement,1,Yes,"Sentiment/emotional drivers, Competitive trend tracking, Visual dashboards",Standalone app,$500+,Other,Yes,More advanced sentiment tracking,Data privacy
05/07/2025,Marketing Agency,Instagram,Never,Analytics tools; No strategy; Intuition/Experience,Wasted ad spend,1,Maybe,"Predict virality, Best posting times",Dashboard,<$50,Content Creator,Yes,More advanced sentiment tracking,Cost of adoption
07/07/2025,Political Campaign,Other,Monthly,Analytics tools; Agency handles it; Intuition/Experience,Predicting resonance,4,No,"Visual dashboards, Sentiment/emotional drivers",Standalone app,$50â€“$200,Other,Maybe,AI-generated content suggestions,Accuracy of predictions
08/07/2025,Political Campaign,Facebook,Monthly,Agency handles it; Intuition/Experience; Analytics tools,Lack of resources,4,Maybe,"Predict virality, Best posting times, Visual dashboards",Dashboard,$500+,Analyst,Yes,AI-generated content suggestions,Ethical use of AI
09/07/2025,Other,Instagram,Weekly,Analytics tools,Negative feedback,4,Maybe,"Best posting times, Sentiment/emotional drivers, Visual dashboards",Plugin,$200â€“$500,Other,No,Easy export to reports,Integration with existing systems
09/07/2025,Nonprofit,TikTok,Weekly,Agency handles it; Intuition/Experience,Lack of resources,4,Yes,"Predict virality, Best posting times",Plugin,$500+,Other,Yes,More advanced sentiment tracking,Integration with existing systems
10/07/2025,Marketing Agency,Facebook,Never,Intuition/Experience; Agency handles it; Analytics tools,Wasted ad spend,1,Maybe,"Visual dashboards, Competitive trend tracking",Dashboard,$200â€“$500,Marketing Manager,No,More advanced sentiment tracking,Accuracy of predictions
10/07/2025,Political Campaign,Twitter/X,Monthly,No strategy; Agency handles it; Intuition/Experience,Lack of resources,5,Maybe,"Visual dashboards, Sentiment/emotional drivers",Plugin,$50â€“$200,Analyst,Yes,Easy export to reports,Ethical use of AI
11/07/2025,SME,LinkedIn,Monthly,Agency handles it,Negative feedback,5,Yes,"Sentiment/emotional drivers, Best posting times, Predict virality",Plugin,<$50,Marketing Manager,Maybe,More advanced sentiment tracking,Data privacy
11/07/2025,Marketing Agency,TikTok,Weekly,Agency handles it,Negative feedback,2,No,"Best posting times, Competitive trend tracking, Visual dashboards",Dashboard,$500+,Analyst,No,Easy export to reports,Integration with existing systems
12/07/2025,SME,TikTok,Weekly,No strategy; Analytics tools,Low engagement,1,Yes,"Competitive trend tracking, Best posting times",Standalone app,<$50,Marketing Manager,Yes,Integration with scheduling tools,Data privacy
